filename,width,height,class,xmin,ymin,xmax,ymax,plate_content
ccc1a2d44a290368_jpg.rf.8e8d6f87f1d1327caf5f80e0c96cdad9.jpg,416.0,416.0,license-plate,210.0,256.0,264.0,298.0,
ccc1a2d44a290368_jpg.rf.8e8d6f87f1d1327caf5f80e0c96cdad9.jpg,416.0,416.0,vehicle,96.0,100.0,136.0,143.0,
ccc1a2d44a290368_jpg.rf.8e8d6f87f1d1327caf5f80e0c96cdad9.jpg,416.0,416.0,vehicle,100.0,28.0,376.0,376.0,
b6580dec5ada277d_jpg.rf.3ec17c0d68df1e6818d590e410bc3d00.jpg,416.0,416.0,license-plate,92.0,184.0,176.0,259.0,
b6580dec5ada277d_jpg.rf.3ec17c0d68df1e6818d590e410bc3d00.jpg,416.0,416.0,vehicle,37.0,0.0,415.0,415.0,
b1a50a3824887ee2_jpg.rf.68a4fd34fce20184287592f2680f895b.jpg,416.0,416.0,license-plate,156.0,319.0,233.0,366.0,
b1a50a3824887ee2_jpg.rf.68a4fd34fce20184287592f2680f895b.jpg,416.0,416.0,license-plate,221.0,95.0,224.0,100.0,
b1a50a3824887ee2_jpg.rf.68a4fd34fce20184287592f2680f895b.jpg,416.0,416.0,vehicle,34.0,92.0,278.0,400.0,
b1a50a3824887ee2_jpg.rf.68a4fd34fce20184287592f2680f895b.jpg,416.0,416.0,vehicle,159.0,78.0,204.0,108.0,
b1a50a3824887ee2_jpg.rf.68a4fd34fce20184287592f2680f895b.jpg,416.0,416.0,vehicle,219.0,79.0,264.0,107.0,
b91c3aaba25bf914_jpg.rf.1f03184f0c412a59b83c4099861cedcf.jpg,416.0,416.0,license-plate,111.0,276.0,174.0,300.0,
b91c3aaba25bf914_jpg.rf.1f03184f0c412a59b83c4099861cedcf.jpg,416.0,416.0,vehicle,69.0,128.0,333.0,351.0,
ce97f7bc90e97109_jpg.rf.0ee971ca2acc7c8826290a5a80153777.jpg,416.0,416.0,license-plate,94.0,206.0,132.0,242.0,
ce97f7bc90e97109_jpg.rf.0ee971ca2acc7c8826290a5a80153777.jpg,416.0,416.0,vehicle,0.0,120.0,28.0,169.0,
ce97f7bc90e97109_jpg.rf.0ee971ca2acc7c8826290a5a80153777.jpg,416.0,416.0,vehicle,37.0,64.0,385.0,391.0,
ce97f7bc90e97109_jpg.rf.0ee971ca2acc7c8826290a5a80153777.jpg,416.0,416.0,vehicle,366.0,75.0,384.0,94.0,
ce97f7bc90e97109_jpg.rf.0ee971ca2acc7c8826290a5a80153777.jpg,416.0,416.0,vehicle,375.0,71.0,398.0,88.0,
ce97f7bc90e97109_jpg.rf.0ee971ca2acc7c8826290a5a80153777.jpg,416.0,416.0,vehicle,382.0,71.0,416.0,153.0,
d28d71c2690c16ed_jpg.rf.b7c4b2a5e5870d9fcf8644c109c5457f.jpg,416.0,416.0,license-plate,124.0,43.0,147.0,50.0,
d28d71c2690c16ed_jpg.rf.b7c4b2a5e5870d9fcf8644c109c5457f.jpg,416.0,416.0,license-plate,249.0,259.0,320.0,285.0,
d28d71c2690c16ed_jpg.rf.b7c4b2a5e5870d9fcf8644c109c5457f.jpg,416.0,416.0,vehicle,0.0,17.0,19.0,80.0,
d28d71c2690c16ed_jpg.rf.b7c4b2a5e5870d9fcf8644c109c5457f.jpg,416.0,416.0,vehicle,76.0,69.0,360.0,307.0,
d28d71c2690c16ed_jpg.rf.b7c4b2a5e5870d9fcf8644c109c5457f.jpg,416.0,416.0,vehicle,77.0,1.0,166.0,88.0,
d28d71c2690c16ed_jpg.rf.b7c4b2a5e5870d9fcf8644c109c5457f.jpg,416.0,416.0,vehicle,247.0,4.0,298.0,42.0,
d28d71c2690c16ed_jpg.rf.b7c4b2a5e5870d9fcf8644c109c5457f.jpg,416.0,416.0,vehicle,342.0,37.0,416.0,264.0,
c91ee912164d8ecb_jpg.rf.5a70d8b40bde25a3a4cb09337bf0c6f9.jpg,416.0,416.0,license-plate,179.0,168.0,264.0,209.0,
c91ee912164d8ecb_jpg.rf.5a70d8b40bde25a3a4cb09337bf0c6f9.jpg,416.0,416.0,vehicle,43.0,17.0,326.0,311.0,
c91ee912164d8ecb_jpg.rf.5a70d8b40bde25a3a4cb09337bf0c6f9.jpg,416.0,416.0,vehicle,277.0,13.0,416.0,222.0,
b8a3f2ea385e45b3_jpg.rf.1b19b61606bd9199fa0f774c35cf8986.jpg,416.0,416.0,license-plate,17.0,287.0,30.0,297.0,
b8a3f2ea385e45b3_jpg.rf.1b19b61606bd9199fa0f774c35cf8986.jpg,416.0,416.0,license-plate,119.0,296.0,138.0,314.0,
b8a3f2ea385e45b3_jpg.rf.1b19b61606bd9199fa0f774c35cf8986.jpg,416.0,416.0,license-plate,284.0,297.0,303.0,312.0,
b8a3f2ea385e45b3_jpg.rf.1b19b61606bd9199fa0f774c35cf8986.jpg,416.0,416.0,vehicle,0.0,195.0,416.0,388.0,
b8a3f2ea385e45b3_jpg.rf.1b19b61606bd9199fa0f774c35cf8986.jpg,416.0,416.0,vehicle,355.0,226.0,416.0,364.0,
b7cdb5c0c99002b7_jpg.rf.2c46810fbf4036039cb03a135e20e9c3.jpg,416.0,416.0,license-plate,296.0,170.0,356.0,203.0,
b7cdb5c0c99002b7_jpg.rf.2c46810fbf4036039cb03a135e20e9c3.jpg,416.0,416.0,vehicle,10.0,49.0,402.0,342.0,
b7cdb5c0c99002b7_jpg.rf.2c46810fbf4036039cb03a135e20e9c3.jpg,416.0,416.0,vehicle,343.0,56.0,415.0,154.0,
cb8c75fc1c7ccf73_jpg.rf.a6d315cf4a3ef0824075df8c8561838b.jpg,416.0,416.0,license-plate,156.0,194.0,257.0,249.0,
cb8c75fc1c7ccf73_jpg.rf.a6d315cf4a3ef0824075df8c8561838b.jpg,416.0,416.0,vehicle,0.0,69.0,77.0,137.0,
cb8c75fc1c7ccf73_jpg.rf.a6d315cf4a3ef0824075df8c8561838b.jpg,416.0,416.0,vehicle,0.0,47.0,415.0,388.0,
c650ff8d3e8e75b3_jpg.rf.a469a8f0edb8fddf8e2b70b102f5a5eb.jpg,416.0,416.0,license-plate,43.0,301.0,78.0,342.0,
c650ff8d3e8e75b3_jpg.rf.a469a8f0edb8fddf8e2b70b102f5a5eb.jpg,416.0,416.0,vehicle,10.0,74.0,392.0,397.0,
c650ff8d3e8e75b3_jpg.rf.a469a8f0edb8fddf8e2b70b102f5a5eb.jpg,416.0,416.0,vehicle,157.0,21.0,238.0,80.0,
c650ff8d3e8e75b3_jpg.rf.a469a8f0edb8fddf8e2b70b102f5a5eb.jpg,416.0,416.0,vehicle,316.0,40.0,386.0,101.0,
c650ff8d3e8e75b3_jpg.rf.a469a8f0edb8fddf8e2b70b102f5a5eb.jpg,416.0,416.0,vehicle,387.0,9.0,416.0,97.0,
b193070a9c45b5ab_jpg.rf.57e5987eb896a7bf9fc7a1a96a660c7e.jpg,416.0,416.0,license-plate,82.0,241.0,127.0,269.0,
b193070a9c45b5ab_jpg.rf.57e5987eb896a7bf9fc7a1a96a660c7e.jpg,416.0,416.0,vehicle,52.0,113.0,396.0,387.0,
b193070a9c45b5ab_jpg.rf.57e5987eb896a7bf9fc7a1a96a660c7e.jpg,416.0,416.0,vehicle,313.0,156.0,416.0,321.0,
d027c6e32db60e3c_jpg.rf.15a865d02f390ef84fca8e053946db31.jpg,416.0,416.0,license-plate,144.0,213.0,275.0,268.0,
