filename,plate_content,is_correct_syntax
4741816,000047 418 16 ,TRUE
12341316,Gnacg ,FALSE
15271216,annis? 712 16. ,FALSE
39231816,600392 318 16 ,TRUE
193811816,001938 118 16 ,TRUE
26149916,,FALSE
27211116,,FALSE
280811716,00280 117 16 ,TRUE
378420916,003784 20916 ,FALSE
396911816,003969 118 16 ,TRUE
41511618,60415 116 18 ,TRUE
440611716,7004408 W7 sy ,FALSE
487411416,004874 114.16 ,FALSE
00487411416_1,aT 16 ,FALSE
491031816,004910 318 16 ,TRUE
492631416,004926 314 16 ,TRUE
49510503,00455 - 105 - 631 ,FALSE
501430216,——e ae Z ,FALSE
513130116,005131 301 16 ,TRUE
519120916,+ * a 20! oy ,FALSE
523611416,Se 1005236 114-16 ,FALSE
537320916,005373 209 16 ,TRUE
54230125,60542:301 251) ,FALSE
543211816,105432 11 160m ,FALSE
543631516,005436 31516 ,FALSE
544011916,005440 119 16 | ,FALSE
549611616,(005496 116 16 ,FALSE
65211835,| 00652 118 35 ,FALSE
71340516,£00713-405 16 ,FALSE
73411018,00734 110 18% ,FALSE
756431516,007564 31516 ,FALSE
802611516,008026 115 16 ,TRUE
861311716,(008613117 16 ,FALSE
87511216,00875 112 16 ,TRUE
883731416,008837 314 16 ,TRUE
93110307,93110307,FALSE
96140516,,FALSE
982411616,+ 009824 116 16 ,FALSE
1015731516,010157315 16 ,FALSE
1051011516,1010510 115 16) ,FALSE
122811418,104228:114-18 | ,FALSE
1234911516,1012349 115 16 ,FALSE
1256311416,012563 114 16 ,TRUE
1270211316,1270211316,FALSE
137431518,"T1374 315 18), ",FALSE
148511018,01485 110 18 ,TRUE
159730616,o 01597 306 16) ,FALSE
165340416,,FALSE
1818719516,,FALSE
186719725,,FALSE
2048811416,020488 114 16 ,TRUE
2075731416,020757314 16 ,FALSE
225211116,,FALSE
2387931116,B23 7331118 ,FALSE
2563519016,2563519016,FALSE
310830516,Oe I ajioe 0s 16) ,FALSE
341030016,—_— 00 16 ,FALSE
3620411516,1036204 115 16} ,FALSE
3678311316,3678311316,FALSE
3902011616,(39020 116 Toe ,FALSE
4133011416,041330 114 16 ,TRUE
4286310316,042863 103 16 ,TRUE
4312911616,043129 116 16 ,TRUE
4385210016,a on 043852 100 6* ,FALSE
4438111616,a ,FALSE
448719116,04487 19116 ,FALSE
